Time (Sec);S1;S11;S2;
8.999999999999998;19159.86828639998;19159.943944000006;19159.827911999997;
9.027102666666664;19159.86828639998;19159.943944000006;19159.8208192;
9.027102666666664;19159.86828639998;19159.943944000006;19159.806137599997;
9.05420533333333;19159.86828639998;19159.936851200007;19159.806137599997;
9.999999999999996;19159.868186399977;19159.936851200007;19159.806137599997;
9.999999999999996;19159.853504799976;19159.936851200007;19159.806137599997;
10.027102666666663;19159.853504799976;19159.936851200007;19159.7990448;
10.027102666666663;19159.853504799976;19159.936851200007;19159.784363199997;
10.054205333333329;19159.853504799976;19159.92975840001;19159.784363199997;
10.999999999999995;19159.853404799975;19159.92975840001;19159.784363199997;
10.999999999999995;19159.839196799974;19159.92975840001;19159.784363199997;
11.026013333333328;19159.839196799974;19159.92975840001;19159.777499199998;
11.026013333333328;19159.839196799974;19159.92975840001;19159.763291199997;
11.052026666666661;19159.839196799974;19159.92289440001;19159.763291199997;
11.999999999999995;19159.839096799973;19159.92289440001;19159.763291199997;
11.999999999999995;19159.824888799973;19159.92289440001;19159.763291199997;
12.026013333333328;19159.824888799973;19159.92289440001;19159.756427199998;
12.026013333333328;19159.824888799973;19159.92289440001;19159.742219199998;
12.052026666666661;19159.824888799973;19159.91603040001;19159.742219199998;
12.999999999999995;19159.82478879997;19159.91603040001;19159.742219199998;
12.999999999999995;19159.81058079997;19159.91603040001;19159.742219199998;
13.026013333333328;19159.81058079997;19159.91603040001;19159.7353552;
13.026013333333328;19159.81058079997;19159.91603040001;19159.721147199998;
13.052026666666661;19159.81058079997;19159.90916640001;19159.721147199998;
13.999999999999995;19159.81048079997;19159.90916640001;19159.721147199998;
13.999999999999995;19159.79579919997;19159.90916640001;19159.721147199998;
14.02710266666666;19159.79579919997;19159.90916640001;19159.7140544;
14.02710266666666;19159.79579919997;19159.90916640001;19159.699372799998;
14.054205333333327;19159.79579919997;19159.902073600013;19159.699372799998;
14.999999999999993;19159.795699199967;19159.902073600013;19159.699372799998;
14.999999999999993;19159.781491199967;19159.902073600013;19159.699372799998;
15.026013333333326;19159.781491199967;19159.902073600013;19159.6925088;
15.026013333333326;19159.781491199967;19159.902073600013;19159.6783008;
15.05202666666666;19159.781491199967;19159.895209600014;19159.6783008;
15.999999999999993;19159.781391199966;19159.895209600014;19159.6783008;
15.999999999999993;19159.766709599964;19159.895209600014;19159.6783008;
16.02710266666666;19159.766709599964;19159.895209600014;19159.671208;
16.02710266666666;19159.766709599964;19159.895209600014;19159.6565264;
16.05420533333333;19159.766709599964;19159.888116800015;19159.6565264;
16.999999999999996;19159.766609599963;19159.888116800015;19159.6565264;
16.999999999999996;19159.752401599962;19159.888116800015;19159.6565264;
17.02601333333333;19159.752401599962;19159.888116800015;19159.6496624;
17.02601333333333;19159.752401599962;19159.888116800015;19159.6354544;
17.052026666666666;19159.752401599962;19159.881252800016;19159.6354544;
18.0;19159.75230159996;19159.881252800016;19159.6354544;
18.0;19159.73809359996;19159.881252800016;19159.6354544;
18.026013333333335;19159.73809359996;19159.881252800016;19159.6285904;
18.026013333333335;19159.73809359996;19159.881252800016;19159.6143824;
